method,type,benchmark,Coverage,roc-auc,benign,pathogenic,total
MISTIC,Clinical-trained,True,True,0.8290441176470589,8,68,76
Maverick_dominant,ND,False,True,0.8125,8,70,78
BayesDel,Clinical-trained,True,True,0.7678571428571428,8,70,78
SNPred,Clinical-trained,True,True,0.7535714285714286,8,70,78
InMeRF,Clinical-trained,True,True,0.75,8,70,78
BayesDel_noAF,Clinical-trained,True,True,0.7321428571428572,8,70,78
EVmutation_independent,Population-free,True,True,0.7222222222222223,8,63,71
MutationAssessor,Population-free,True,True,0.7205882352941176,8,68,76
DeMaSk,Population-free,True,True,0.7200704225352113,8,71,79
ClinPred,Clinical-trained,True,True,0.6875,8,70,78
MetaRNN,Clinical-trained,True,True,0.6857142857142857,8,70,78
MutFormer,Clinical-trained,True,True,0.6839285714285714,8,70,78
REVEL,Clinical-trained,True,True,0.6785714285714286,8,70,78
SuSPect,Clinical-trained,True,True,0.676056338028169,8,71,79
mutationTCN,Population-free,True,False,0.6661490683229814,7,46,53
SIFT,Population-free,True,True,0.6646126760563381,8,71,79
Tranception,Population-free,True,True,0.6619718309859155,8,71,79
EVmutation_epistatic,Population-free,True,True,0.6567460317460317,8,63,71
Maverick_benign,Clinical-trained,True,True,0.6553571428571429,8,70,78
MetaLR,Clinical-trained,True,True,0.6508928571428572,8,70,78
Maverick_recesive,ND,False,True,0.6446428571428572,8,70,78
CPT,Population-free,True,True,0.6426056338028169,8,71,79
Grantham,Population-free,True,True,0.6258802816901409,8,71,79
MutScore,Clinical-trained,True,True,0.6167279411764706,8,68,76
ESM-1v,Population-free,True,True,0.6161971830985915,8,71,79
MVP,Clinical-trained,True,True,0.6160714285714286,8,70,78
gMVP,Clinical-trained,True,True,0.6107142857142858,8,70,78
GenoCanyon,Clinical-trained,True,True,0.6080357142857142,8,70,78
MetaSVM,Clinical-trained,True,True,0.6053571428571429,8,70,78
M-CAP,Clinical-trained,True,False,0.6047619047619048,6,70,76
MutationTaster,ND,False,True,0.6017857142857144,8,70,78
popEVE,Population-tuned,True,True,0.6012323943661971,8,71,79
ESCOTT,Population-free,True,True,0.6003521126760564,8,71,79
DeepSequence,Population-free,True,True,0.594847775175644,7,61,68
VESPAl,Clinical-trained,True,True,0.5933098591549296,8,71,79
UNEECON,ND,False,True,0.5892857142857143,8,70,78
fathmm-MKL,Clinical-trained,True,True,0.5883928571428572,8,70,78
AlphaMissense,Population-tuned,True,True,0.5809859154929577,8,71,79
PonP2,Clinical-trained,True,True,0.5809859154929577,8,71,79
iGEMME,Population-free,True,True,0.579225352112676,8,71,79
EVE,Population-free,True,False,0.5784543325526932,7,61,68
LIST-S2,Population-tuned,True,True,0.5776785714285715,8,70,78
sequence_unet,Population-free,True,True,0.5774647887323944,8,71,79
SIFT4G,Population-free,True,True,0.5732142857142857,8,70,78
CONDEL,Clinical-trained,True,True,0.5732142857142857,8,70,78
fitCons,Population-free,True,True,0.5732142857142857,8,70,78
GEMME,Population-free,True,True,0.5721830985915494,8,71,79
phastCons,Population-free,True,True,0.5714285714285714,8,70,78
CAPICE,Clinical-trained,True,True,0.5692307692307692,7,65,72
DEOGEN2,Clinical-trained,True,True,0.5678571428571428,8,70,78
VARITY_ER,Clinical-trained,True,True,0.5625,8,70,78
SNAP2,Clinical-trained,True,True,0.5625,8,71,79
VARITY_R,Clinical-trained,True,True,0.5589285714285714,8,70,78
Eigen,Clinical-trained,True,True,0.5517857142857142,8,70,78
VEST4,Clinical-trained,True,True,0.5437500000000001,8,70,78
LASSIE,Population-tuned,True,True,0.5428571428571429,8,70,78
LRT,Population-free,True,True,0.5419642857142857,8,70,78
PHACT,Population-free,True,True,0.5413732394366197,8,71,79
SIGMA,Clinical-trained,True,True,0.5404411764705882,8,68,76
PHACTboost,Clinical-trained,True,True,0.5387323943661972,8,71,79
DeepSAV,Clinical-trained,True,True,0.5383928571428571,8,70,78
MutPred,Clinical-trained,True,False,0.5368852459016393,4,61,65
SPRI,Clinical-trained,True,True,0.5321969696969697,8,66,74
Envision,Population-free,True,True,0.5264084507042254,8,71,79
GERP++,Population-free,True,True,0.525,8,70,78
PrimateAI,Population-tuned,True,True,0.5220588235294118,8,68,76
CADD,Clinical-trained,False,True,0.5160714285714285,8,70,78
NetDiseaseSNP,ND,False,True,0.5158450704225352,8,71,79
SiPhy,Population-free,True,True,0.5151785714285715,8,70,78
fathmm-XF,Clinical-trained,True,True,0.5142857142857142,8,70,78
Polyphen2_HumVar,Clinical-trained,True,True,0.5142857142857142,8,70,78
phyloP,Population-free,True,True,0.5133928571428571,8,70,78
ESM-1b,Population-free,True,True,0.5105633802816901,8,71,79
BLOSUM62,Population-free,True,True,0.5079225352112676,8,71,79
DANN,Clinical-trained,True,True,0.5071428571428571,8,70,78
Polyphen2_HumDiv,Clinical-trained,True,True,0.5062500000000001,8,70,78
PhD-SNPg,Clinical-trained,True,True,0.50625,8,70,78
AlphScore,Clinical-trained,True,True,0.5,8,68,76
