tp,count,library
T0,53634884,Low Exp.
T1,9715335,Low Exp.
T2,2467,Low Exp.
T3,4820071,Low Exp.
T4,9195652,Low Exp.
T5,15361775,Low Exp.
T6,8728727,Low Exp.
T7,10067333,Low Exp.
T8,16040981,Low Exp.
T9,15131780,Low Exp.
T10,12317957,Low Exp.
T0,42771576,High Exp.
T1,8394018,High Exp.
T2,12366311,High Exp.
T3,4794792,High Exp.
T4,9415336,High Exp.
T5,9484896,High Exp.
T6,10019876,High Exp.
T7,15090332,High Exp.
T8,25322883,High Exp.
T9,12579116,High Exp.
T10,10324261,High Exp.
