time,high_c_1,high_c_2,high_c_3,high_c,high_d_1,high_d_2,high_d_3,high_d,low_c_1,low_c_2,low_c_3,low_c,low_d_1,low_d_2,low_d_3,low_d,c_c_1,c_c_2,c_c_3,c_c,c_d_1,c_d_2,c_d_3,c_d
0,0.0836,0.0835,0.0848,0.083966667,0.0816,0.0839,0.0851,0.083533333,0.0825,0.0838,0.086,0.0841,0.0797,0.0809,0.0809,0.0805,0.083,0.0841,0.0827,0.083266667,0.0789,0.0751,0.0786,0.077533333
0.25,0.0836,0.0835,0.0848,0.083966667,0.0816,0.0839,0.0851,0.083533333,0.0825,0.0838,0.086,0.0841,0.0797,0.0809,0.0809,0.0805,0.083,0.0841,0.0827,0.083266667,0.0789,0.0751,0.0786,0.077533333
0.5,0.0841,0.0839,0.0853,0.084433333,0.0822,0.0843,0.0854,0.083966667,0.083,0.0841,0.0865,0.084533333,0.0797,0.081,0.081,0.080566667,0.0834,0.0846,0.083,0.083666667,0.0786,0.0753,0.0786,0.0775
0.75,0.0846,0.0843,0.0856,0.084833333,0.0834,0.0851,0.0861,0.084866667,0.0836,0.0847,0.0871,0.085133333,0.0799,0.0826,0.0811,0.0812,0.0837,0.0853,0.0832,0.084066667,0.0786,0.0751,0.0786,0.077433333
1,0.0855,0.0849,0.0865,0.085633333,0.0831,0.0854,0.0864,0.084966667,0.0844,0.0852,0.0881,0.0859,0.0799,0.0823,0.0811,0.0811,0.0843,0.0859,0.0839,0.0847,0.0784,0.0749,0.0766,0.076633333
1.25,0.0862,0.0858,0.0877,0.086566667,0.0844,0.0864,0.0875,0.0861,0.0854,0.0861,0.0891,0.086866667,0.08,0.0819,0.0818,0.081233333,0.0849,0.087,0.0848,0.085566667,0.0785,0.075,0.0779,0.077133333
1.5,0.0885,0.0866,0.0886,0.0879,0.0854,0.0871,0.0882,0.0869,0.0866,0.087,0.0904,0.088,0.0804,0.0828,0.0821,0.081766667,0.0858,0.0882,0.0856,0.086533333,0.0784,0.0751,0.0772,0.0769
1.75,0.0897,0.0877,0.0897,0.089033333,0.086,0.0881,0.0893,0.0878,0.0877,0.0882,0.0918,0.089233333,0.0807,0.0831,0.0825,0.0821,0.0867,0.0894,0.0865,0.087533333,0.0783,0.075,0.0768,0.0767
2,0.0909,0.0889,0.091,0.090266667,0.0874,0.0891,0.0906,0.089033333,0.0891,0.089,0.0932,0.090433333,0.0812,0.0831,0.0829,0.0824,0.0876,0.0908,0.0874,0.0886,0.0784,0.0751,0.0765,0.076666667
2.25,0.0924,0.0903,0.0927,0.0918,0.0887,0.0906,0.0918,0.090366667,0.0907,0.0904,0.0952,0.0921,0.0814,0.0839,0.0835,0.082933333,0.0889,0.0927,0.0888,0.090133333,0.0783,0.0751,0.0764,0.0766
2.5,0.0945,0.0918,0.0945,0.0936,0.0901,0.0918,0.0932,0.0917,0.0928,0.0917,0.0973,0.093933333,0.082,0.0843,0.0844,0.083566667,0.0905,0.0944,0.0901,0.091666667,0.0782,0.0751,0.0767,0.076666667
2.75,0.0958,0.0936,0.0965,0.0953,0.0921,0.0936,0.0949,0.093533333,0.0947,0.0937,0.0999,0.0961,0.0826,0.0852,0.0852,0.084333333,0.0921,0.0967,0.0919,0.093566667,0.0782,0.0751,0.0763,0.076533333
3,0.0989,0.096,0.0994,0.0981,0.0943,0.0957,0.0972,0.095733333,0.0974,0.0958,0.1027,0.098633333,0.0834,0.0862,0.0862,0.085266667,0.0941,0.0993,0.0939,0.095766667,0.0782,0.0751,0.0764,0.076566667
3.25,0.101,0.0981,0.1019,0.100333333,0.0968,0.0978,0.0994,0.098,0.0998,0.0979,0.106,0.101233333,0.0843,0.087,0.0871,0.086133333,0.0961,0.1021,0.0959,0.098033333,0.0781,0.0751,0.0763,0.0765
3.5,0.1036,0.1012,0.1048,0.1032,0.0995,0.1004,0.1021,0.100666667,0.1029,0.1005,0.11,0.104466667,0.0852,0.0882,0.0881,0.087166667,0.0988,0.1053,0.0984,0.100833333,0.0781,0.0751,0.0762,0.076466667
3.75,0.1065,0.1044,0.1083,0.1064,0.1023,0.1033,0.1052,0.1036,0.1064,0.1035,0.1134,0.107766667,0.0863,0.0895,0.0896,0.088466667,0.1015,0.1087,0.1011,0.103766667,0.0781,0.075,0.0762,0.076433333
4,0.1101,0.1075,0.1124,0.11,0.1061,0.1069,0.1087,0.107233333,0.1103,0.1066,0.118,0.111633333,0.0874,0.0911,0.091,0.089833333,0.1042,0.1126,0.1042,0.107,0.0782,0.0751,0.0763,0.076533333
4.25,0.1145,0.1113,0.1167,0.114166667,0.1102,0.1106,0.1125,0.1111,0.1151,0.1105,0.1232,0.116266667,0.089,0.0927,0.0927,0.091466667,0.108,0.117,0.1078,0.110933333,0.0773,0.0752,0.0765,0.076333333
4.5,0.1191,0.1159,0.1219,0.118966667,0.1142,0.1146,0.1167,0.115166667,0.1201,0.1147,0.1289,0.121233333,0.0903,0.0946,0.0944,0.0931,0.1121,0.1219,0.1117,0.115233333,0.0771,0.0751,0.0761,0.0761
4.75,0.1243,0.1205,0.1274,0.124066667,0.1197,0.1198,0.1222,0.120566667,0.1256,0.1194,0.1358,0.126933333,0.0925,0.0971,0.0965,0.095366667,0.1162,0.1276,0.1162,0.12,0.0776,0.0753,0.0764,0.076433333
5,0.134,0.1297,0.1388,0.134166667,0.1286,0.1285,0.1311,0.1294,0.1355,0.1277,0.1477,0.136966667,0.0958,0.1013,0.1007,0.099266667,0.1247,0.1371,0.1241,0.128633333,0.0778,0.0756,0.0767,0.0767
5.25,0.14,0.1355,0.1449,0.140133333,0.1341,0.1342,0.1367,0.135,0.1417,0.1337,0.1548,0.1434,0.0976,0.1038,0.1027,0.101366667,0.1297,0.1432,0.129,0.133966667,0.0777,0.0753,0.0764,0.076466667
5.5,0.1468,0.1422,0.152,0.147,0.1412,0.1409,0.1435,0.141866667,0.1492,0.1402,0.1629,0.150766667,0.0999,0.1065,0.1052,0.103866667,0.1351,0.1504,0.1346,0.140033333,0.0778,0.0754,0.0763,0.0765
5.75,0.155,0.1497,0.1609,0.1552,0.1489,0.1482,0.1511,0.1494,0.1574,0.1476,0.1729,0.1593,0.1023,0.1099,0.1082,0.1068,0.142,0.1583,0.1409,0.147066667,0.0776,0.0754,0.0762,0.0764
6,0.1636,0.1583,0.1708,0.164233333,0.1584,0.1569,0.1601,0.158466667,0.1666,0.1561,0.1835,0.168733333,0.1054,0.1135,0.1118,0.110233333,0.1483,0.1678,0.1483,0.1548,0.0775,0.0754,0.0763,0.0764
6.25,0.1737,0.1673,0.1814,0.174133333,0.1673,0.166,0.1696,0.167633333,0.1769,0.1646,0.1951,0.178866667,0.1084,0.1174,0.1152,0.113666667,0.1562,0.1772,0.1563,0.163233333,0.0773,0.0754,0.0762,0.0763
6.5,0.1842,0.1777,0.1934,0.1851,0.1785,0.1763,0.1804,0.1784,0.1881,0.174,0.208,0.190033333,0.1123,0.1219,0.1191,0.117766667,0.1643,0.187,0.1654,0.172233333,0.0773,0.0754,0.0763,0.076333333
6.75,0.1962,0.1893,0.2066,0.197366667,0.1901,0.1872,0.1922,0.189833333,0.2003,0.1854,0.2221,0.2026,0.1163,0.1269,0.1236,0.122266667,0.1734,0.1994,0.1751,0.182633333,0.0774,0.0754,0.0762,0.076333333
7,0.2089,0.2018,0.2206,0.210433333,0.2028,0.1994,0.205,0.2024,0.2133,0.1969,0.2374,0.215866667,0.1205,0.1329,0.1287,0.127366667,0.1833,0.2121,0.186,0.1938,0.0775,0.0755,0.0762,0.0764
7.25,0.223,0.215,0.2357,0.224566667,0.2169,0.2131,0.2196,0.216533333,0.2276,0.2092,0.2543,0.230366667,0.1253,0.1389,0.134,0.132733333,0.1942,0.2247,0.1978,0.205566667,0.0772,0.0754,0.0761,0.076233333
